f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,labels
191,415169,189,440707,164,362646,86,163068,113,245649,158,336790,193,436641,105,212001,173,404575,115,229759,120,224770,114,231656,153,319153,107,222687,45,65659,82,136950,2109,0
157,281987,166,344442,140,269610,79,136251,104,205360,149,300273,171,349167,91,156609,152,320754,105,190583,109,180751,95,157233,129,226805,95,175081,41,48871,67,82423,1851,0
11,5025,24,12054,22,8864,23,9827,9,6755,18,10924,34,14412,30,12860,30,9620,26,13212,33,12147,45,16757,30,15066,23,8579,45,16045,25,11893,429,0
72,153864,85,179911,79,151771,129,227731,54,116364,72,171220,111,212339,122,219590,100,176880,77,143521,147,220193,150,234788,138,265438,125,224143,138,193694,182,284076,1782,0
75,115569,61,92247,61,81385,79,96421,38,59390,74,106784,86,110996,91,98395,59,81369,48,55376,57,58675,93,84839,103,128741,106,120580,54,31058,99,82399,1185,0
123,248319,89,167933,95,177035,95,141429,59,116477,96,166660,117,194789,110,151248,96,186018,69,112785,83,130995,111,133497,124,186246,128,181032,64,59758,115,126403,1575,0
123,248319,89,167933,95,177035,95,141429,59,116477,96,166660,117,194789,110,151248,96,186018,69,112785,83,130995,111,133497,124,186246,128,181032,64,59758,115,126403,1575,0
123,248319,89,167933,95,177035,95,141429,59,116477,96,166660,117,194789,110,151248,96,186018,69,112785,83,130995,111,133497,124,186246,128,181032,64,59758,115,126403,1575,0
88,95838,56,50102,95,109809,50,38310,38,35882,40,38446,81,89987,49,33713,88,90676,53,62787,61,69725,75,83553,75,73081,59,46277,40,36666,50,43148,999,0
96,108824,60,57644,97,123155,54,45774,39,41203,47,44571,88,101698,55,40735,93,103347,58,70512,62,78318,78,93932,79,83543,64,55022,44,42356,53,49989,1068,0
28,18868,30,21614,42,27742,34,17888,10,6082,12,8944,41,27297,45,25349,40,27424,25,13433,38,22630,62,35240,56,34674,41,23465,44,20728,54,32230,603,0
74,77768,73,72133,70,67676,43,43931,46,52432,68,67442,75,67479,68,63160,66,62112,52,46582,58,47514,51,44777,74,70576,64,63842,24,17862,44,39114,951,0
87,100815,75,77151,86,98858,46,50504,45,49859,82,97198,85,88597,75,77855,79,88841,63,67957,73,77973,54,51082,83,89377,67,70629,25,19887,51,53345,1077,0
84,97974,75,76527,85,97423,46,50120,44,48804,82,96454,85,87889,75,77291,79,88109,62,66772,73,77433,54,50698,83,88717,67,70113,25,19731,51,52985,1071,0
101,103229,103,114601,72,88082,58,63886,61,66617,86,93980,111,134883,58,68616,87,109365,63,74023,86,114974,65,78659,85,92251,64,80860,32,38480,34,39382,1167,0
129,212967,119,217031,97,166959,84,128720,74,130194,106,183444,139,250417,92,133754,112,201378,82,141222,106,204330,111,153829,114,183518,104,155290,69,78231,81,83115,1620,0
101,103229,103,114601,72,88082,58,63886,61,66617,86,93980,111,134883,58,68616,87,109365,63,74023,86,114974,65,78659,85,92251,64,80860,32,38480,34,39382,1167,0
260,659314,155,382719,183,467053,119,292865,62,146004,139,304041,155,404451,168,377374,222,590326,83,195905,131,308383,141,330905,173,409689,147,348157,108,244478,162,341616,2409,0
320,1275306,236,1012358,272,1038302,275,1005433,145,651643,256,1256102,228,981216,258,1060404,322,1208676,171,763117,235,956577,259,982499,315,1193567,224,916014,253,940833,247,894241,4017,0
